venom|effect|pmid
bombesin|water intake|2755870
bombesin|food intake|2755870
bombesin|gastric acid secretion|2760944
bombesin|malignant neoplastic disease|2766293
bombesin|neoplasm, malignant (primary)|2766293
bombesin|intestinal motility|2838842
bombesin|malignant adenomatous neoplasm|2838842
bombesin|neoplasm|2838842
bombesin|adenocarcinoma|2838842
bombesin|malignant tumor of pancreas|2838842
bombesin|gastric acid secretion|2862711
bombesin|gastric function|2862711
bombesin|gastric emptying|2862711
bombesin|chronic obstructive lung disease|2864099
bombesin|common cold|2864099
bombesin|cardiac function|2864099
bombesin|water intake|2923249
bombesin|food intake|2923249
bombesin|gastric emptying|3114028
bombesin|peripheral blood flow|3197861
bombesin|food intake|3202231
bombesin|hyperglycemia|3215150
bombesin|loss of appetite|3226951
bombesin|food intake|3226951
bombesin|anorexia|3226951
bombesin|sleep|3295797
bombesin|food intake|3295797
bombesin|elevated blood pressure|3384004
bombesin|hypertensive disorder|3384004
bombesin|examined for|3384004
bombesin|blood pressure|3384004
bombesin|gastric acid secretion|3393692
bombesin|gastric secretion|3393692
bombesin|hypothermia|3430867
bombesin|arterial blood pressure|3430867
bombesin|gastric motility|3432135
bombesin|gastric acid secretion|3437584
bombesin|pancreatic secretion|3438303
bombesin|multiple gastric erosions|3513909
bombesin|fasting|3513909
bombesin|gastric acidity|3513909
bombesin|chronic obstructive lung disease|3627951
bombesin|common cold|3627951
bombesin|licking|3627951
bombesin|drinking|3656507
bombesin|water intake|3656507
bombesin|licking|3656507
bombesin|gastric acid secretion|3676774
bombesin|gastric secretion|3676774
bombesin|chronic obstructive lung disease|3786114
bombesin|common cold|3786114
bombesin|depressive disorder|3786114
bombesin|water intake|3801925
bombesin|gastric acid secretion|3956337
bombesin|gastric secretion|3956337
bombesin|gastric acid secretion|4007411
bombesin|gastric secretion|4007411
bombesin|food intake|4010472
bombesin|no incoordination|4043224
bombesin|motility|4043224
bombesin|intestinal motility|4043224
bombesin|water intake|6283491
bombesin|food intake|6283491
bombesin|stress|6302295
bombesin|gastric mucosal barrier|6302295
bombesin|common cold|6302295
bombesin|chronic obstructive lung disease|6302295
bombesin|gastric acid secretion|6472575
bombesin|drinking|6473174
bombesin|food intake|6473174
bombesin|deprivation of food|6473174
bombesin|gastric acid secretion|6482676
bombesin|gastric acid secretion|6522645
bombesin|pancreatic insufficiency|6607137
bombesin|chronic pancreatitis|6697850
bombesin|pancreatic insufficiency|6697850
bombesin|chronic obstructive lung disease|6734843
bombesin|common cold|6734843
bombesin|gastric acid secretion|6740496
bombesin|gallbladder contraction|6740496
bombesin|hypothermia|6855453
bombesin|gastric emptying|6862156
bombesin|gastric acid secretion|7021368
bombesin|gastric secretion|7021368
bombesin|gastric acid secretion|7063751
bombesin|gastric secretion|7063751
bombesin|pancreatic secretion|7063751
bombesin|water intake|7079366
bombesin|drinking|7079366
bombesin|food intake|7079366
bombesin|gastric acid secretion|7092351
bombesin|gastric secretion|7154848
bombesin|gastric acid secretion|7173320
bombesin|gastric acid secretion|7255766
bombesin|peak gastric acid output|7255766
bombesin|gastric secretion|7255766
bombesin|food intake|7479333
bombesin|licking|7479333
bombesin|gastric acid secretion|7563982
bombesin|arterial blood pressure|7563982
bombesin|food intake|7569765
bombesin|circadian rhythm|7705441
bombesin|gastric acid secretion|7716060
bombesin|does not play|7716060
bombesin|fasting|7778034
bombesin|malignant adenomatous neoplasm|7809021
bombesin|neoplasm|7809021
bombesin|small cell carcinoma of lung|7809021
bombesin|adenocarcinoma|7809021
bombesin|hyperaesthesia|7813568
bombesin|fasting|7829539
bombesin|gastric secretion|7846293
bombesin|vascular flow|7846293
bombesin|neoplasm|7858155
bombesin|malignant tumor of breast|7858155
bombesin|neoplasm|7868940
bombesin|enterocolitis|7944667
bombesin|core body temperature|7972291
bombesin|hypothermia|7972291
bombesin|neoplasm of liver|8170991
bombesin|neoplasm|8170991
bombesin|neoplasm, malignant (primary)|8170991
bombesin|hepatocellular carcinoma|8170991
bombesin|malignant neoplastic disease|8170991
bombesin|hepatic neoplasm|8170991
bombesin|blood pressure|8191031
bombesin|appetite increased|8221161
bombesin|hyperinsulinism|8221161
bombesin|core body temperature|8221161
bombesin|hypothermia|8221161
bombesin|ambient temperature|8221161
bombesin|remission phase|8242552
bombesin|neoplasm|8242552
bombesin|neoplasm, malignant (primary)|8242552
bombesin|depressive disorder|8242552
bombesin|malignant neoplastic disease|8242552
bombesin|carcinoma|8242552
bombesin|neoplasm|8313327
bombesin|neoplasm, malignant (primary)|8313327
bombesin|malignant tumor of breast|8313327
bombesin|malignant neoplastic disease|8313327
bombesin|neoplasm|8313359
bombesin|malignant tumor of pancreas|8313359
bombesin|food intake|8322979
bombesin|neoplasm|8387464
bombesin|malignant tumor of pancreas|8387464
bombesin|food intake|8403798
bombesin|food intake|8447491
bombesin|sensation quality|8447491
bombesin|tumor progression|8630226
bombesin|neoplasm, malignant (primary)|8630226
bombesin|malignant neoplastic disease|8630226
bombesin|subdivision of|8795081
bombesin|food intake|8795081
bombesin|milk intake|8959745
bombesin|food intake|8959745
bombesin|birth|8959745
bombesin|balance|9175202
bombesin|food intake|9213356
bombesin|deprivation of food|9213356
bombesin|malignant neoplastic disease|9254895
bombesin|neoplasm|9254895
bombesin|neoplasm, malignant (primary)|9254895
bombesin|malignant neoplastic disease|9344044
bombesin|neoplasm|9344044
bombesin|neoplasm, malignant (primary)|9344044
bombesin|growth pattern|9344044
bombesin|neoplasm|9376196
bombesin|neoplasm, malignant (primary)|9376196
bombesin|malignant neoplastic disease|9376196
bombesin|water intake|9402609
bombesin|depression|9402609
bombesin|depressive disorder|9402609
bombesin|malignant adenomatous neoplasm|9486581
bombesin|neoplasm|9486581
bombesin|clear cell carcinoma of kidney|9486581
bombesin|adenocarcinoma|9486581
bombesin|renal cell carcinoma|9486581
bombesin|celiac disease|9539666
bombesin|gluten free diet|9539666
bombesin|malignant adenomatous neoplasm|9650851
bombesin|carcinoma|9650851
bombesin|neoplasm|9650851
bombesin|adenocarcinoma|9650851
bombesin|standard meal|9657358
bombesin|pancreatic secretion|9657358
bombesin|neoplasm|9713279
bombesin|malignant tumor of breast|9713279
bombesin|neoplasm|9815798
bombesin|carcinoma|9815798
bombesin|ovarian carcinoma|9815798
bombesin|loss of appetite|10362739
bombesin|food intake|10362739
bombesin|does communicate|10362739
bombesin|weight gain|10362739
bombesin|anorexia|10362739
bombesin|gastric acid secretion|10455316
bombesin|neoplasm|10480336
bombesin|human parturition, function|10480336
bombesin|gastric acid secretion|10619185
bombesin|reflex|10619185
bombesin|endotoxemia|10619185
bombesin|neoplasm|10717621
bombesin|carcinoma|10717621
bombesin|neoplasm|10881027
bombesin|neoplasm, malignant (primary)|10881027
bombesin|malignant neoplastic disease|10881027
bombesin|neoplasm, malignant (primary)|10982627
bombesin|malignant tumor of pancreas|10982627
bombesin|carcinoma|10982627
bombesin|malignant neoplastic disease|10982627
bombesin|carcinoma|11058885
bombesin|neoplasm|11058885
bombesin|neoplasm, malignant (primary)|11058885
bombesin|malignant neoplastic disease|11058885
bombesin|food intake|11111013
bombesin|appetite increased|11111013
bombesin|malignant neoplastic disease|11485826
bombesin|ovarian carcinoma|11485826
bombesin|neoplasm, malignant (primary)|11485826
bombesin|not detected|11495677
bombesin|neoplasm|11953892
bombesin|glioblastoma|11953892
bombesin|neoplasm|12031877
bombesin|tissue repair|12047914
bombesin|food intake|12047914
bombesin|chronic gastric ulcer|12047914
bombesin|gastric emptying|12047914
bombesin|immunosuppression|12592625
bombesin|loss of appetite|12676368
bombesin|hypothermia|12676368
bombesin|rectal temperature|12676368
bombesin|anorexia|12676368
bombesin|clear cell carcinoma of kidney|12678868
bombesin|neuroblastoma|12678868
bombesin|malignant adenomatous neoplasm|12678868
bombesin|tissue repair|12678868
bombesin|neoplastic disease|12678868
bombesin|malignant melanoma|12678868
bombesin|renal cell carcinoma|12678868
bombesin|thyroid neoplasm malignant|12678868
bombesin|neoplasm|12678868
bombesin|neoplasm, malignant (primary)|12678868
bombesin|motility|12678868
bombesin|adenocarcinoma|12678868
bombesin|malignant neoplastic disease|12678868
bombesin|malignant tumor of pancreas|12678868
bombesin|colitis|12678868
bombesin|malignant tumor of breast|12678868
bombesin|gastric acid secretion|12692184
bombesin|circulatory failure|12711834
bombesin|stress|12711834
bombesin|gastric ulcer|12711834
bombesin|bronchopulmonary dysplasia of newborn|12807697
bombesin|malignant neoplastic disease|14499286
bombesin|neoplasm, malignant (primary)|14499286
bombesin|neoplasm|14660794
bombesin|carcinoma|14660794
bombesin|neoplasm|15068608
bombesin|normal tissue|15068608
bombesin|psychosis|15165713
bombesin|stress|15177937
bombesin|endotoxemia|15177937
bombesin|obstructive hyperbilirubinemia|15177937
bombesin|weight loss|15204957
bombesin|short bowel syndrome|15204957
bombesin|malignant neoplastic disease|15350601
bombesin|neoplasm, malignant (primary)|15350601
bombesin|secondary malignant neoplastic disease|15350601
bombesin|carcinoma|15350601
bombesin|neoplasm|15653654
bombesin|loss of appetite|15680182
bombesin|food intake|15680182
bombesin|anorexia|15680182
bombesin|food intake|15746304
bombesin|malignant neoplastic disease|15788692
bombesin|neoplasm, malignant (primary)|15788692
bombesin|ovarian carcinoma|15788692
bombesin|malignant neoplastic disease|15853664
bombesin|neoplasm, malignant (primary)|15853664
bombesin|human parturition, function|15853664
bombesin|emotional|16023260
bombesin|anxiety|16023260
bombesin|nervousness|16040630
bombesin|chest pain|16040630
bombesin|small cell carcinoma of lung|16040630
bombesin|plaque|16040630
bombesin|neoplasm|16051478
bombesin|reflex|16117171
bombesin|tidal volume|16117171
bombesin|neoplasm, malignant (primary)|16243649
bombesin|malignant neoplastic disease|16243649
bombesin|very high|16243649
bombesin|pancreatic secretion|16264389
bombesin|food intake|16264389
bombesin|acute pancreatitis|16293654
bombesin|pancreatitis|16293654
bombesin|neoplasm|16322338
bombesin|carcinoma|16322338
bombesin|malignant tumor of breast|16322338
bombesin|neoplasm|16459262
bombesin|common cold|16459262
bombesin|chronic obstructive lung disease|16459262
bombesin|neoplasm|16505950
bombesin|medullary carcinoma|16505950
bombesin|chronic lung disease|16603607
bombesin|interstitial fibrosis|16603607
bombesin|bronchopulmonary dysplasia of newborn|16603607
bombesin|neoplasm|16801542
bombesin|malignant tumor of breast|16801542
bombesin|immunosuppression|16908293
bombesin|neuropathy|16908293
bombesin|eating|16963158
bombesin|appetite increased|16963158
bombesin|food intake|17208656
bombesin|food appetite|17208656
bombesin|1/3 meter|17308247
bombesin|plaque|17308247
bombesin|malignant neoplastic disease|17332943
bombesin|neoplasm|17332943
bombesin|neoplasm, malignant (primary)|17332943
bombesin|carcinoma of prostate|17372572
bombesin|neoplasm|17372572
bombesin|circulatory failure neonatal|17629354
bombesin|malignant neoplastic disease|17870245
bombesin|neoplasm|17870245
bombesin|neoplasm, malignant (primary)|17870245
bombesin|carcinoma|18003891
bombesin|malignant tumor of breast|18003891
bombesin|malignant neoplastic disease|18201818
bombesin|neoplasm|18201818
bombesin|neoplasm, malignant (primary)|18201818
bombesin|secondary malignant neoplastic disease|18201818
bombesin|rheumatoid arthritis|18220954
bombesin|sepsis|18220954
bombesin|langerhans cell histiocytosis, unifocal (clinical)|18220954
bombesin|langerhans cell histiocytosis, unifocal|18220954
bombesin|hepatocellular carcinoma|18454045
bombesin|neoplasm|18454045
bombesin|liver cell carcinoma (clinical)|18454045
bombesin|carcinoma|18454045
bombesin|emotional|18563394
bombesin|stress|18563394
bombesin|anxiety|18563394
bombesin|balance|18567096
bombesin|stress|18567096
bombesin|intestinal motility|18567096
bombesin|vascular flow|18567096
bombesin|inflammatory bowel disease|18567096
bombesin|tissue repair|18567096
bombesin|immune response|18567096
bombesin|equilibrium|18567096
bombesin|neoplasm|18622433
bombesin|neoplasm|19019494
bombesin|agitation|19032952
bombesin|arterial blood pressure|19032952
bombesin|tidal volume|19032952
bombesin|blood pressure|19032952
bombesin|balance|20131069
bombesin|stress|20131069
bombesin|manic reaction|20131069
bombesin|drinking|20233609
bombesin|hypokinesia|20233609
bombesin|acne|20410458
bombesin|neoplasm|20410458
bombesin|neoplasm, malignant (primary)|20410458
bombesin|malignant neoplastic disease|20410458
bombesin|carcinoma|20410458
bombesin|human parturition, function|20410458
bombesin|neoplasm, malignant (primary)|20491631
bombesin|secondary malignant neoplastic disease|20491631
bombesin|neoplasm|20491631
bombesin|malignant neoplastic disease|20491631
bombesin|human parturition, function|20491631
bombesin|food intake|20727356
bombesin|deprivation of food|20727356
bombesin|arterial blood pressure|21849634
bombesin|agitation|21849634
bombesin|blood pressure|21849634
bombesin|expiration|21849634
bombesin|tachycardia|21849634
bombesin|tachyarrhythmia|21849634
bombesin|neoplasm|22050889
bombesin|sensation quality|22329438
bombesin|malignant neoplastic disease|22619538
bombesin|neoplasm|22619538
bombesin|neoplasm, malignant (primary)|22619538
bombesin|human parturition, function|22619538
bombesin|malignant neoplastic disease|22751419
bombesin|neoplasm|22751419
bombesin|neoplasm, malignant (primary)|22751419
bombesin|does steer|22868212
bombesin|neoplasm, malignant (primary)|22926257
bombesin|neoplasm|22926257
bombesin|carcinoma|22926257
bombesin|malignant neoplastic disease|22926257
bombesin|quality of life satisfaction|22971474
bombesin|abnormal sexual function|22971474
bombesin|neoplasm, malignant (primary)|22971474
bombesin|anaemia|22971474
bombesin|malignant neoplastic disease|22971474
bombesin|osteoporosis|22971474
bombesin|diarrhoea|22971474
bombesin|anemia|22971474
bombesin|malignant neoplastic disease|23451211
bombesin|neoplasm|23451211
bombesin|neoplasm, malignant (primary)|23451211
bombesin|malignant neoplastic disease|23708872
bombesin|neoplasm|23708872
bombesin|neoplasm, malignant (primary)|23708872
bombesin|neoplasm|23863118
bombesin|neoplasm, malignant (primary)|23863118
bombesin|malignant neoplastic disease|23863118
bombesin|human parturition, function|23863118
bombesin|autoimmune polyendocrinopathy|23863118
bombesin|immune response|24247113
bombesin|pneumonia|24247113
bombesin|stress|24530741
agkistrodon serine proteinase|intermittent claudication|66429
agkistrodon serine proteinase|claudication|66429
agkistrodon serine proteinase|limping|66429
agkistrodon serine proteinase|ischemia|360366
agkistrodon serine proteinase|blood pressure|360366
agkistrodon serine proteinase|vascular flow|484913
agkistrodon serine proteinase|peripheral arterial occlusive disease|484913
agkistrodon serine proteinase|claudication|492058
agkistrodon serine proteinase|heart failure|492058
agkistrodon serine proteinase|cardiac failure|492058
agkistrodon serine proteinase|arterial insufficiency|492058
agkistrodon serine proteinase|peripheral arterial occlusive disease|492058
agkistrodon serine proteinase|limping|492058
agkistrodon serine proteinase|occlusion of artery|492058
agkistrodon serine proteinase|deep venous thrombosis|577626
agkistrodon serine proteinase|deep venous thrombosis|651769
agkistrodon serine proteinase|peripheral arterial occlusive disease|651769
agkistrodon serine proteinase|occlusion of artery|651769
agkistrodon serine proteinase|thromboembolus|725844
agkistrodon serine proteinase|thromboembolic disorder|725844
agkistrodon serine proteinase|thromboembolism|725844
agkistrodon serine proteinase|thromboembolus|786606
agkistrodon serine proteinase|thrombophlebitis|786606
agkistrodon serine proteinase|coronary arteriosclerosis|786606
agkistrodon serine proteinase|thromboembolic disorder|786606
agkistrodon serine proteinase|pulmonary embolism|786606
agkistrodon serine proteinase|vascular disorder|786606
agkistrodon serine proteinase|thromboembolism|786606
agkistrodon serine proteinase|postphlebitic syndrome|786606
agkistrodon serine proteinase|ischemia|786606
agkistrodon serine proteinase|nephritis|794557
agkistrodon serine proteinase|albuminuria|794557
agkistrodon serine proteinase|proteinuria|794557
agkistrodon serine proteinase|catabolism|920833
agkistrodon serine proteinase|arterial thrombosis|952568
agkistrodon serine proteinase|neoplasm|953985
agkistrodon serine proteinase|hemostatic function|1017726
agkistrodon serine proteinase|raynaud's disease|1069443
agkistrodon serine proteinase|hyperosmolarity|1078314
agkistrodon serine proteinase|red color|1078314
agkistrodon serine proteinase|disorder of artery|1078314
agkistrodon serine proteinase|vascular flow|1078314
agkistrodon serine proteinase|intermittent claudication|1078314
agkistrodon serine proteinase|nephritis|1212801
agkistrodon serine proteinase|serum sickness|1212811
agkistrodon serine proteinase|nephrotoxic serum nephritis|1212811
agkistrodon serine proteinase|coronary occlusion|1704437
agkistrodon serine proteinase|acute myocardial infarction|1704437
agkistrodon serine proteinase|arterial blood pressure|1704437
agkistrodon serine proteinase|vascular flow|1704437
agkistrodon serine proteinase|myocardial ischemia|1704437
agkistrodon serine proteinase|thrombosis coronary|1704437
agkistrodon serine proteinase|ischemia|1704437
agkistrodon serine proteinase|nephritis|1768613
agkistrodon serine proteinase|necrosis|1768613
agkistrodon serine proteinase|proliferative glomerulonephritis|1768613
agkistrodon serine proteinase|renal function|1768613
agkistrodon serine proteinase|ischemic stroke|1839548
agkistrodon serine proteinase|cerebral blood flow|1839548
agkistrodon serine proteinase|cerebral infarction|1839548
agkistrodon serine proteinase|cerebrovascular disorder|1839548
agkistrodon serine proteinase|remission phase|1860798
agkistrodon serine proteinase|secondary cryofibrinogenemia|1860798
agkistrodon serine proteinase|infection|1860798
agkistrodon serine proteinase|cryofibrinogenemia|1860798
agkistrodon serine proteinase|pulmonary embolism|1860798
agkistrodon serine proteinase|common cold|1860798
agkistrodon serine proteinase|diabetes mellitus|1860798
agkistrodon serine proteinase|chronic obstructive lung disease|1860798
agkistrodon serine proteinase|infectious disease|1860798
agkistrodon serine proteinase|primary biliary cirrhosis|1860798
agkistrodon serine proteinase|peripheral venous insufficiency|1860798
agkistrodon serine proteinase|thromboembolus|1932741
agkistrodon serine proteinase|thrombophlebitis|1932741
agkistrodon serine proteinase|phlegmasia cerulea dolens|1932741
agkistrodon serine proteinase|thromboembolic disorder|1932741
agkistrodon serine proteinase|carcinoma|1932741
agkistrodon serine proteinase|deep venous thrombosis|1932741
agkistrodon serine proteinase|thromboembolism|1932741
agkistrodon serine proteinase|heparin-induced thrombocytopenia|1932741
agkistrodon serine proteinase|left ventricular thrombus|2032531
agkistrodon serine proteinase|embolus|2032531
agkistrodon serine proteinase|plaque|2032531
agkistrodon serine proteinase|peripheral ischaemia|2133215
agkistrodon serine proteinase|peripheral vascular disease|2133215
agkistrodon serine proteinase|vascular flow|2133215
agkistrodon serine proteinase|peripheral blood flow|2133215
agkistrodon serine proteinase|occlusion of artery|2133215
agkistrodon serine proteinase|intermittent claudication|2133215
agkistrodon serine proteinase|cerebrovascular disorder|2186630
agkistrodon serine proteinase|platelet count below reference range|2190683
agkistrodon serine proteinase|thrombocytopenia|2190683
agkistrodon serine proteinase|thrombocytopenic disorder|2190683
agkistrodon serine proteinase|renal function|2225555
agkistrodon serine proteinase|blood pressure|2225555
agkistrodon serine proteinase|sle glomerulonephritis syndrome|2225555
agkistrodon serine proteinase|kidney disease|2225555
agkistrodon serine proteinase|kidney disease|2299806
agkistrodon serine proteinase|glomerulonephritis|2299806
agkistrodon serine proteinase|lupus erythematosus|2299806
agkistrodon serine proteinase|cerebral ischemia|2643955
agkistrodon serine proteinase|ischemic stroke|2643955
agkistrodon serine proteinase|cerebral blood flow|2643955
agkistrodon serine proteinase|cerebrovascular disorder|2643955
agkistrodon serine proteinase|neurological deficit|2643955
agkistrodon serine proteinase|neoplastic disease|2643955
agkistrodon serine proteinase|necrosis|2715398
agkistrodon serine proteinase|thrombocytopenia|2790577
agkistrodon serine proteinase|thrombocytopenic disorder|2790577
agkistrodon serine proteinase|platelet count below reference range|2790577
agkistrodon serine proteinase|right ventricular thrombus|2790577
agkistrodon serine proteinase|thrombophlebitis|2790577
agkistrodon serine proteinase|anticoagulant effect|2790577
agkistrodon serine proteinase|heart disease|2790577
agkistrodon serine proteinase|heparin-induced thrombocytopenia|2818066
agkistrodon serine proteinase|peripheral ischaemia|3056131
agkistrodon serine proteinase|thrombophlebitis|3056131
agkistrodon serine proteinase|peripheral vascular disease|3056131
agkistrodon serine proteinase|thromboembolic disorder|3056131
agkistrodon serine proteinase|thromboembolus|3056131
agkistrodon serine proteinase|cerebral infarction|3056131
agkistrodon serine proteinase|deep venous thrombosis|3056131
agkistrodon serine proteinase|cerebrovascular disorder|3056131
agkistrodon serine proteinase|thromboembolism|3056131
agkistrodon serine proteinase|subcortical leukoencephalopathy|3063776
agkistrodon serine proteinase|hyperviscosity|3063776
agkistrodon serine proteinase|albuminuria|3078212
agkistrodon serine proteinase|sle glomerulonephritis syndrome|3078212
agkistrodon serine proteinase|glomerulonephritis|3078212
agkistrodon serine proteinase|proteinuria|3078212
agkistrodon serine proteinase|renal function|3078212
agkistrodon serine proteinase|platelet count below reference range|3385879
agkistrodon serine proteinase|antithrombin iii deficiency|3385879
agkistrodon serine proteinase|thrombocytopenia|3385879
agkistrodon serine proteinase|thrombocytopenic disorder|3385879
agkistrodon serine proteinase|ventricular fibrillation|3565240
agkistrodon serine proteinase|ischemia|3573090
agkistrodon serine proteinase|nephritis|3741774
agkistrodon serine proteinase|glomerulonephritis|3741774
agkistrodon serine proteinase|renal function|3741774
agkistrodon serine proteinase|recruitment|3871465
agkistrodon serine proteinase|hypofibrinogenemia|3871465
agkistrodon serine proteinase|systemic lupus erythematosus|3871465
agkistrodon serine proteinase|systemic lupus erythematosus|3968467
agkistrodon serine proteinase|glomerulonephritis|3968467
agkistrodon serine proteinase|renal function|3968467
agkistrodon serine proteinase|blood pressure|3968467
agkistrodon serine proteinase|proliferative glomerulonephritis|3968467
agkistrodon serine proteinase|kidney disease|3968467
agkistrodon serine proteinase|disorder involving the fibrinolytic system|3968467
agkistrodon serine proteinase|deep venous thrombosis|4607845
agkistrodon serine proteinase|postoperative deep vein thrombosis|4607845
agkistrodon serine proteinase|dialysance|5485178
agkistrodon serine proteinase|ischemic stroke|6196006
agkistrodon serine proteinase|systemic lupus erythematosus|6229228
agkistrodon serine proteinase|hypertension|6229228
agkistrodon serine proteinase|hypertensive disorder|6229228
agkistrodon serine proteinase|thromboembolus|6672998
agkistrodon serine proteinase|thromboembolic disorder|6672998
agkistrodon serine proteinase|thromboembolism|6672998
agkistrodon serine proteinase|postphlebitic syndrome|6672998
agkistrodon serine proteinase|necrosis|6754189
agkistrodon serine proteinase|renal function|6754189
agkistrodon serine proteinase|sle glomerulonephritis syndrome|6758185
agkistrodon serine proteinase|nephrotoxic serum nephritis|6760667
agkistrodon serine proteinase|systemic lupus erythematosus|6816068
agkistrodon serine proteinase|necrosis|6816068
agkistrodon serine proteinase|glomerulonephritis|6816068
agkistrodon serine proteinase|renal function|6816068
agkistrodon serine proteinase|red color|6948396
agkistrodon serine proteinase|deep venous thrombosis|7038977
agkistrodon serine proteinase|hemostatic function|7725330
agkistrodon serine proteinase|deep venous thrombosis|7788603
agkistrodon serine proteinase|pulmonary embolism|7788603
agkistrodon serine proteinase|platelet count below reference range|7954782
agkistrodon serine proteinase|thrombocytopenia|7954782
agkistrodon serine proteinase|thrombocytopenic disorder|7954782
agkistrodon serine proteinase|chest pain|7979757
agkistrodon serine proteinase|pulmonary embolism|7979757
agkistrodon serine proteinase|heparin-induced thrombocytopenia|7979757
agkistrodon serine proteinase|heparin-induced thrombocytopenia|8010823
agkistrodon serine proteinase|ischemic stroke|8073455
agkistrodon serine proteinase|disability|8073455
agkistrodon serine proteinase|cerebrovascular disorder|8073455
agkistrodon serine proteinase|lupus anticoagulant disorder|8075311
agkistrodon serine proteinase|hemostatic function|8075311
agkistrodon serine proteinase|thrombocytopenia|8156472
agkistrodon serine proteinase|thrombocytopenic disorder|8156472
agkistrodon serine proteinase|platelet count below reference range|8156472
agkistrodon serine proteinase|thromboembolic disorder|8156472
agkistrodon serine proteinase|heparin-induced thrombocytopenia with thrombosis|8156472
agkistrodon serine proteinase|immune response|8156472
agkistrodon serine proteinase|circulatory failure|8222694
agkistrodon serine proteinase|hypoxia|8222694
agkistrodon serine proteinase|oxygen uptake|8222694
agkistrodon serine proteinase|behavior finding|8433424
agkistrodon serine proteinase|contraindicated|8433424
agkistrodon serine proteinase|claudication|8457476
agkistrodon serine proteinase|peripheral ischaemia|8457476
agkistrodon serine proteinase|peripheral vascular disease|8457476
agkistrodon serine proteinase|limping|8457476
agkistrodon serine proteinase|depressive disorder|8457476
agkistrodon serine proteinase|thrombocytopenia|8571730
agkistrodon serine proteinase|thrombocytopenic disorder|8571730
agkistrodon serine proteinase|platelet count below reference range|8571730
agkistrodon serine proteinase|vascular flow|8607122
agkistrodon serine proteinase|intolerance|8740327
agkistrodon serine proteinase|allergic reaction|8740327
agkistrodon serine proteinase|allergic disposition|8740327
agkistrodon serine proteinase|preinfarction syndrome|8740327
agkistrodon serine proteinase|human parturition, function|8769943
agkistrodon serine proteinase|vascular flow|8822133
agkistrodon serine proteinase|arterial thrombosis|8822133
agkistrodon serine proteinase|thrombocytopenia|8950124
agkistrodon serine proteinase|angina pectoris|8950124
agkistrodon serine proteinase|thrombocytopenic disorder|8950124
agkistrodon serine proteinase|platelet count below reference range|8950124
agkistrodon serine proteinase|myocardial infarction|8950124
agkistrodon serine proteinase|arterial thrombosis|8950124
