compound|predicate|object|pmid
bombesin|affects|duodenal ulcers|7173320
bombesin|augments|gastric acid secretion|7255766
bombesin|stimulates|gastrin|7255766
bombesin|affects|gastric|7255766
bombesin|stimulates|bombesin|7255766
BN|compared_with|GRP|7479333
BN|higher_than|GRP|7479333
GRP|treats|rats|7479333
bombesin|neg_affects|sympathetic nerve|7563982
bombesin|augments|nerve|7563982
neurotransmitters|part_of|gut|7569765
gastric inhibitory polypeptide|produces|PYY|7569765
TTX|neg_interacts_with|isoproterenol|7569765
TTX|neg_interacts_with|CGRP|7569765
TTX|neg_interacts_with|bethanechol|7569765
TTX|neg_interacts_with|PYY|7569765
gastrin releasing peptide|isa|peptides|7705441
bombesin|affects|physiological responses|7705441
bombesin|inhibits|peptide receptor|7705441
peptides|affects|neurons|7705441
peptides|affects|cells|7705441
antibody|part_of|rats|7716060
somatostatin|inhibits|basal GAS|7716060
pentagastrin|treats|rats|7716060
bombesin|disrupts|basal GAS|7716060
Bombesin|disrupts|basal GAS|7716060
somatostatin|inhibits|gastric acid secretion|7716060
bombesin|treats|patients|7778034
cholecystokinin|treats|patients|7778034
Bombesin|isa|tetradecapeptide|7809021
Bombesin|augments|growth|7809021
BBS|affects|growth|7809021
bovine serum albumin|part_of|Mice|7809021
Bombesin|disrupts|growth|7809021
glutamate|interacts_with|NMDA receptors|7813568
neuromedin C|affects|nociception|7813568
neuromedin C|augments|nociception|7813568
yohimbine|treats|dogs|7829539
medetomidine|treats|dogs|7829539
Nitric oxide|associated_with|hyperemia|7846293
pentagastrin|augments|secretion|7846293
L-arginine|treats|fall|7846293
nitric oxide|affects|gastric|7846293
nitric oxide|affects|blood flow|7846293
nitric oxide|affects|gastric acid secretion|7846293
gastrin-releasing peptide|affects|growth|7858155
epidermal growth factor|disrupts|tumor growth|7858155
bombesin/GRP antagonist|causes|down-regulation|7858155
luteinizing hormone-releasing hormone|disrupts|growth|7868940
gastrin-releasing peptide|disrupts|growth|7868940
EGF-receptors|associated_with|tumors|7868940
LH-RH|treats|pancreatic cancers|7868940
bombesin/GRP antagonist|treats|pancreatic cancers|7868940
bombesin|administered_to|patients|7944667
chemotherapeutic agents|causes|enterocolitis|7944667
Bombesin|isa|tetradecapeptide|7972291
Bombesin|affects|hypothermic|7972291
tetradecapeptide|affects|hypothermic|7972291
BBS|causes|hypothermia|7972291
bombesin|administered_to|rats|7972291
bombesin|part_of|intraventricular|7972291
gastrin-releasing peptide|associated_with|cancers|8170991
Bombesin|associated_with|cancers|8170991
RC-3095|disrupts|growth|8170991
RC-3095|stimulates|kinase|8170991
EGF|augments|phosphorylation|8170991
bombesin|augments|phosphorylation|8170991
EGF|interacts_with|ligands|8170991
RC-3095|associated_with|hepatoma|8170991
gastrin-releasing peptide|augments|cancer|8170991
bombesin|augments|growth|8170991
bombesin|part_of|tumors|8170991
Bombesin|affects|blood pressure|8191031
insulin|treats|rats|8221161
bombesin|disrupts|core body temperature|8221161
RC-3095|stimulates|LH-RH|8242552
LH-RH|treats|cancer model|8242552
LH-RH|produces|RC-3095|8242552
LH-RH|affects|tumor growth|8242552
EGF|isa|treatment|8242552
EGF|uses|RC-3095|8242552
gastrin-releasing peptides|stimulates|luteinizing hormone-releasing hormone|8242552
luteinizing hormone-releasing hormone agonists|treats|breast cancer|8313327
RC-3095|part_of|Uterine|8313327
epidermal growth factor receptors|disrupts|tumor|8313327
RC-3095|causes|down-regulation|8313327
RC-3095|interacts_with|RC-3095|8313327
RC-3095|affects|tumors|8313327
RC-3095|affects|growth|8313359
RC-3095|disrupts|growth|8313359
RC-3095|part_of|mice|8313359
Bombesin|augments|DNA synthesis|8313359
thymidine|coexists_with|bombesin|8313359
thymidine|disrupts|uptake|8313359
bombesin|disrupts|uptake|8313359
thymidine|compared_with|bombesin|8313359
bombesin|treats|rats|8322979
BBS|disrupts|food intake|8322979
gastrin-releasing peptide|part_of|pancreatic cancers|8387464
bombesin|neg_augments|growth|8387464
GRP|neg_augments|growth|8387464
GRP|disrupts|pancreatic tumors|8387464
bombesin|disrupts|pancreatic tumors|8387464
bombesin antagonists|affects|growth|8387464
bombesin|causes|down-regulation|8387464
GRP|disrupts|pancreatic cancer|8387464
bombesin|disrupts|pancreatic cancer|8387464
gastrin-releasing peptide|interacts_with|bombesin|8387464
bombesin|disrupts|food intake|8403798
cholecystokinin|associated_with|shake|8403798
loxiglumide|compared_with|saline|8403798
loxiglumide|lower_than|saline|8403798
loxiglumide|coexists_with|bombesin|8403798
saline|coexists_with|bombesin|8403798
Bombesin|disrupts|food intake|8403798
saline|administered_to|men|8447491
bombesin|compared_with|saline|8447491
bombesin|administered_to|men|8447491
bombesin|affects|satiety|8447491
bombesin|disrupts|food intake|8447491
serotonin|isa|hormones|8630226
somatostatin|isa|hormones|8630226
bombesin|isa|hormones|8630226
somatostatin|associated_with|prostate cancer|8630226
serotonin|associated_with|prostate cancer|8630226
bombesin|associated_with|prostate cancer|8630226
Bombesin|disrupts|food intake|8795081
CCK|stimulates|BBS|8795081
BBS|stimulates|BBS|8795081
bombesin|augments|immunoreactivity|8795081
bombesin|disrupts|food intake|8959745
Oxytocin|disrupts|food intake|8959745
BN|interacts_with|OX|8959745
OX|disrupts|receptor expression|8959745
OX|treats|adults|8959745
BN|treats|adults|8959745
BN antagonists|neg_affects|food intake|8959745
OX|neg_affects|food intake|8959745
bombesin|affects|ontogenic|8959745
oxytocin|affects|ontogenic|8959745
bombesin|interacts_with|somatostatin|9175202
Bombesin|produces|somatostatin|9175202
gastrin|interacts_with|gastrin|9175202
gastrin|interacts_with|somatostatin|9175202
Bombesin|disrupts|histamine release|9175202
BBS|affects|diabetic|9213356
bombesin|affects|diabetic|9213356
cholecystokinin|affects|diabetic|9213356
CCK|treats|rats|9213356
CCK|treats|diabetic|9213356
CGRP|neg_treats|rats|9213356
BBS|affects|anorectic|9213356
CCK|affects|anorectic|9213356
amylin|affects|anorectic|9213356
bombesin|interacts_with|CGRP|9213356
cholecystokinin|interacts_with|CGRP|9213356
epidermal growth factor|isa|growth factors|9254895
EGF|disrupts|tumor growth|9254895
LH-RH|disrupts|tumor growth|9254895
GRP|disrupts|tumor growth|9254895
RC-3940-II|affects|growth|9254895
BN/GRP antagonists|disrupts|growth|9254895
EGF receptors|affects|tumor growth|9254895
RC-3940-II|disrupts|growth|9254895
azoxymethane|causes|intestinal adenocarcinomas|9344044
azoxymethane|administered_to|rats|9344044
Bombesin|augments|intestinal tumors|9344044
Bombesin|augments|cancer metastasis|9344044
bombesin|neg_augments|carcinogenesis|9344044
RC-3940-II|affects|growth|9376196
agonist|administered_to|nude mice|9376196
RC-3940-II|treats|nude mice|9376196
LH-RH receptors|interacts_with|Cetrorelix|9376196
bombesin antagonists|inhibits|EHF|9376196
bombesin antagonists|disrupts|growth|9376196
Cetrorelix|disrupts|growth|9376196
RC-3940-II|disrupts|growth|9376196
sucrose|part_of|Wistar rats|9402609
BN|part_of|Wistar rats|9402609
sodium|interacts_with|peptide|9402609
BN|augments|depression|9402609
NaCl|part_of|rats|9402609
Bombesin|treats|rats|9402609
therapeutic agents|treats|patients|9486581
therapeutic agents|treats|RCC|9486581
RC-3940-II|affects|growth|9486581
RC-160|administered_to|nude mice|9486581
RC-160|administered_to|animals|9486581
RC-3940-II|disrupts|growth|9486581
bombesin|administered_to|patients|9539666
bombesin|treats|patients|9539666
gastrin-releasing peptide|part_of|scapular region|9650851
bombesin|affects|exocrine secretion|9657358
bombesin|stimulates|secretin|9657358
secretin|stimulates|bombesin|9657358
bombesin|affects|parameters|9657358
RC-3940-II|administered_to|nude mice|9713279
RC-3095|disrupts|tumour growth|9713279
RC-3940-II|disrupts|growth|9713279
gastrin-releasing peptide receptor|part_of|murine|9815798
mGRPr|part_of|mGRPr|9815798
gastrin-releasing peptide receptor|part_of|tumor|9815798
Bombesin|disrupts|food intake|10362739
BN-sensitive receptors|interacts_with|BN|10362739
BN|affects|anorexic|10362739
insulin|interacts_with|bombesin|10455316
nitric oxide|part_of|cerebral|10455316
L-NAME|part_of|DMN|10455316
pentagastrin|augments|acid secretion|10455316
bombesin|disrupts|acid secretion|10455316
bombesin|disrupts|gastric acid secretion|10455316
epidermal growth factor|associated_with|cancers|10480336
peptide hormone analogs|disrupts|tumor growth|10480336
RC-3095|part_of|hamsters|10480336
RC-3095|associated_with|pancreatic cancers|10480336
EGF receptors|associated_with|pancreatic cancers|10480336
EGF receptors|associated_with|cancers|10480336
peptide analogs|disrupts|pancreatic cancers|10480336
peptides|affects|gastric acid secretion|10619185
alpha-helical CRF|isa|CRF|10619185
oxytocin|disrupts|acid secretion|10619185
oxytocin|interacts_with|endotoxin|10619185
oxytocin|inhibits|gastric acid secretion|10619185
growth factors|predisposes|breast carcinoma|10717621
mRNA|interacts_with|RC-3095|10717621
RC-3940-II|part_of|human breast carcinoma|10717621
RC-3940-II|part_of|tumors|10717621
RC-3940-II|compared_with|RC-3940-II|10717621
BN/GRP antagonists|treats|breast tumors|10717621
RC-3095|disrupts|growth|10717621
growth factors|affects|prostate cancer|10881027
neuropeptides|affects|prostate cancer|10881027
gastrin-releasing peptide|interacts_with|growth hormone-releasing hormone|10881027
RC-3940-II|coexists_with|JV-1-38|10881027
IGF-II|disrupts|tumor growth|10881027
MZ-5-156|coexists_with|IGF-I|10881027
RC-3940-II|disrupts|tumor|10881027
RC-3940-II|inhibits|IGF-II|10881027
RC-3940-II|inhibits|RC-3940-II|10881027
RC-3940-II|inhibits|BN/GRP|10881027
bombesin antagonists|affects|prostate cancer|10881027
cholecystokinin|affects|pancreatic cancer|10982627
bombesin|affects|pancreatic cancer|10982627
gastrin|affects|pancreatic cancer|10982627
receptors|augments|carcinogenesis|10982627
gastrointestinal hormones|associated_with|pancreatic cancer|10982627
bombesin (BN) receptors|associated_with|cancers|11058885
carboxylesterases|affects|tumors|11058885
mRNA|interacts_with|BN|11058885
bombesin|disrupts|cancer|11058885
bombesin|interacts_with|BN|11111013
BN|disrupts|food intake|11111013
BN|interacts_with|neuropeptide Y|11111013
BN|interacts_with|NPY|11111013
bombesin|disrupts|food intake|11111013
RC-3095|disrupts|growth|11485826
peptide YY|neg_interacts_with|TFF3|11495677
bombesin|treats|nude mice|11953892
bombesin|compared_with|DO3A-amide-betaAla-BBN|12031877
bombesin|administered_to|rats|12047914
nuclear antigen|part_of|cell|12592625
nuclear antigen|part_of|rats|12592625
BN receptors|associated_with|hypothermia|12676368
BN|causes|hypothermia|12676368
NMB|causes|hypothermia|12676368
GRP|causes|hypothermia|12676368
BN|inhibits|GRP receptor|12676368
BN receptor|associated_with|hypothermia|12676368
bombesin receptor|associated_with|hypothermia|12676368
Bombesin|affects|gastrointestinal motility|12678868
BBS|associated_with|tumor growth|12678868
BBS|associated_with|inflammation|12678868
peptides|inhibits|BBS receptor|12678868
bombesin|produces|somatostatin|12692184
PRL-2903|interacts_with|bombesin|12692184
bombesin|disrupts|acid secretion|12692184
antibody|part_of|mice|12692184
bombesin|neg_affects|gastric acid secretion|12692184
bombesin|disrupts|gastric acid secretion|12692184
hormones|part_of|gastric|12711834
Bombesin|interacts_with|mitogenic|12711834
cholecystokinin (CCK) receptors|interacts_with|bombesin|12711834
bombesin|associated_with|stress ulcers|12711834
cholecystokinin receptors|associated_with|gastric injury|12711834
bombesin|associated_with|gastric injury|12711834
bombesin|administered_to|mice|12807697
Bombesin|causes|cell proliferation|12807697
gastrin-releasing peptide|causes|cell proliferation|12807697
NMB|causes|cell proliferation|12807697
NMB|causes|chemotaxis|12807697
bombesin receptor subtype 3|causes|cell proliferation|12807697
bombesin receptor subtype 3|causes|chemotaxis|12807697
gastrin-releasing peptide|causes|chemotaxis|12807697
Bombesin|causes|chemotaxis|12807697
peptides|affects|growth|14499286
peptides|affects|cell proliferation|14499286
RC-3095|affects|memory|14499286
GRP receptor|affects|memory|14499286
RC-3940-II|affects|small cell lung carcinoma|14660794
RC-3940-II|inhibits|mutant p53 protein|14660794
EGF receptor|associated_with|tumors|14660794
IGF receptor|associated_with|tumors|14660794
GRP|augments|cells|14660794
BN/GRP antagonist|disrupts|growth|14660794
Tp53|augments|cell growth|14660794
growth hormone-releasing hormone|inhibits|p53|14660794
bombesin|inhibits|p53|14660794
BN|interacts_with|GRPR|15068608
analogues|interacts_with|GRPR|15068608
peptides|associated_with|pathogenesis|15165713
Bombesin|causes|disorders|15165713
Bombesin|causes|schizophrenia|15165713
dizocilpine|treats|rodents|15165713
RC-3095|affects|stereotypy|15165713
RC-3095|neg_affects|stereotyped behavior|15165713
GRP|interacts_with|drug|15165713
RC-3095|inhibits|apomorphine|15165713
BBS|associated_with|obstructive jaundice|15177937
NT|disrupts|injury|15177937
neurotensin|disrupts|oxidative stress|15177937
bombesin|affects|gut|15204957
Bombesin|associated_with|short bowel syndrome|15204957
somatostatin|interacts_with|receptors|15350601
somatostatin|disrupts|growth|15350601
hormone receptors|part_of|tumoral|15350601
peptide receptors|part_of|cancers|15653654
octreotide|part_of|neuroendocrine tumors|15653654
CCK2|part_of|neuroendocrine tumors|15653654
BN|causes|anorexia|15680182
L-nitro-arginine|inhibits|PKG|15680182
BN|disrupts|food intake|15680182
gastrin-releasing peptide|disrupts|food intake|15746304
BBS|augments|GH secretion|15746304
BBS|augments|PSS-II|15746304
BBS|augments|PSS|15746304
ghrelin|part_of|goldfish|15746304
BBS|inhibits|ghrelin|15746304
ghrelin|interacts_with|GRP|15746304
GRP|disrupts|ovarian tumors|15788692
bombesin|disrupts|ovarian cancers|15788692
chemotherapeutic agents|disrupts|toxicity|15853664
cytotoxic agents|treats|tumors|15853664
radiopharmaceuticals|treats|tumors|15853664
receptors|associated_with|cancers|15853664
somatostatin|isa|hypothalamic hormones|15853664
gastrin-releasing peptide receptor|affects|memory|16023260
RC-3095|administered_to|Rats|16023260
RC-3095|neg_affects|locomotion|16023260
GRPR|affects|memory|16023260
GRPR|affects|anxiety|16023260
peptides|augments|sensitivity|16040630
bombesin|interacts_with|bombesin|16040630
bombesin|interacts_with|gastrin-releasing peptide|16040630
GRP|part_of|neurons|16040630
bombesin|part_of|neurons|16040630
ATP|coexists_with|bombesin|16040630
ATP|coexists_with|GRP|16040630
bombesin|augments|sensitivity|16040630
GRP|augments|sensitivity|16040630
GRP|augments|excitability|16040630
bombesin|augments|excitability|16040630
multidrug resistance proteins|affects|endometrial cancers|16051478
bombesin|part_of|endometrial cancers|16051478
bombesin|affects|respiratory center|16117171
